model,roc_auc,Brier_score,accuracy
Logistic Regression,0.7854888929230186,0.08247701779100852,0.8977957637334252
LightGBM,0.8431006384260551,0.06973069155720103,0.9149302565868779
CatBoost,0.8425831783060486,0.0708987792123604,0.9122610642328225
